Ticker,Name,Exchange,AlpacaListed,AlpacaSymbol,AlpacaMatchType,AlpacaName,AlpacaExchange,AlpacaStatus,AlpacaTradable,AlpacaMarginable,AlpacaShortable,AlpacaFractionable,LastPrice,AvgVolume1M,Momentum1M
REPL,"Replimune Group, Inc. Common Stock",NASDAQ,TRUE,REPL,alpaca_source,"Replimune Group, Inc. Common Stock",NASDAQ,active,True,True,True,True,11.37,6283721.45,1.471739
MSTZ,T-Rex 2X Inverse MSTR Daily Target ETF,BATS,TRUE,MSTZ,alpaca_source,T-Rex 2X Inverse MSTR Daily Target ETF,BATS,active,True,True,False,True,12.34,22530829.05,1.039669
QURE,uniQure N.V. Ordinary Shares,NASDAQ,TRUE,QURE,alpaca_source,uniQure N.V. Ordinary Shares,NASDAQ,active,True,True,True,True,48.12,2597380.8,0.91332
APPS,"Digital Turbine, Inc. Common Stock",NASDAQ,TRUE,APPS,alpaca_source,"Digital Turbine, Inc. Common Stock",NASDAQ,active,True,True,True,True,9.2,11065447.3,0.912682
ARQQ,Arqit Quantum Inc. Ordinary Shares,NASDAQ,TRUE,ARQQ,alpaca_source,Arqit Quantum Inc. Ordinary Shares,NASDAQ,active,True,True,False,True,27.95,1362796.5,0.68475
BFLY,"Butterfly Network, Inc.",NYSE,TRUE,BFLY,alpaca_source,"Butterfly Network, Inc.",NYSE,active,True,True,True,True,7.6251,9315566.7,0.679537
QTTB,Q32 Bio Inc. Common Stock,NASDAQ,TRUE,QTTB,alpaca_source,Q32 Bio Inc. Common Stock,NASDAQ,active,True,True,False,True,11.86,1645557.5,0.672778
NEBX,Tradr 2X Long NBIS Daily ETF,BATS,TRUE,NEBX,alpaca_source,Tradr 2X Long NBIS Daily ETF,BATS,active,True,True,False,True,59.95,1987452.25,0.629667
RGNX,REGENXBIO Inc. Common Stock,NASDAQ,TRUE,RGNX,alpaca_source,REGENXBIO Inc. Common Stock,NASDAQ,active,True,True,True,True,10.28,2040099.2,0.62916
NBIG,Themes ETF Trust Leverage Shares 2X Long NBIS Daily ETF,NASDAQ,TRUE,NBIG,alpaca_source,Themes ETF Trust Leverage Shares 2X Long NBIS Daily ETF,NASDAQ,active,True,True,False,True,40.49,1034594.8,0.618305
DFTX,"Definium Therapeutics, Inc. Common Shares",NASDAQ,TRUE,DFTX,alpaca_source,"Definium Therapeutics, Inc. Common Shares",NASDAQ,active,True,True,True,True,36.84,3256775.7,0.61014
APGE,"Apogee Therapeutics, Inc. Common Stock",NASDAQ,TRUE,APGE,alpaca_source,"Apogee Therapeutics, Inc. Common Stock",NASDAQ,active,True,True,True,True,132.84,4583170.7,0.604154
QMCO,Quantum Corporation Common Stock,NASDAQ,TRUE,QMCO,alpaca_source,Quantum Corporation Common Stock,NASDAQ,active,True,True,False,True,13.27,1646264.2,0.520046
BLZE,"Backblaze, Inc. Class A Common Stock",NASDAQ,TRUE,BLZE,alpaca_source,"Backblaze, Inc. Class A Common Stock",NASDAQ,active,True,True,True,True,11.6399,2920140.3,0.498057
BHVN,Biohaven Ltd.,NYSE,TRUE,BHVN,alpaca_source,Biohaven Ltd.,NYSE,active,True,True,True,True,15.08,3709627.45,0.497517
ZSL,ProShares UltraShort Silver,ARCA,TRUE,ZSL,alpaca_source,ProShares UltraShort Silver,ARCA,active,True,True,False,True,29.0,3829151.3,0.492537
